House Vote #1 2020-01-07T18:55:00 - Call of the House
person,state,district,vote,name,party
412394,AL,2,Present,Rep. Martha Roby [R],Republican
412395,AL,5,Present,Rep. Mo Brooks [R],Republican
412396,AL,7,Present,Rep. Terri Sewell [D],Democrat
412397,AZ,4,Present,Rep. Paul Gosar [R],Republican
412399,AZ,6,Present,Rep. David Schweikert [R],Republican
412400,AR,1,Not Voting,Rep. Eric “Rick” Crawford [R],Republican
412402,AR,3,Present,Rep. Steve Womack [R],Republican
412404,CA,37,Present,Rep. Karen Bass [D],Democrat
412405,CO,3,Present,Rep. Scott Tipton [R],Republican
412410,FL,11,Not Voting,Rep. Daniel Webster [R],Republican
412412,FL,24,Not Voting,Rep. Frederica Wilson [D],Democrat
412416,GA,7,Present,Rep. Rob Woodall [R],Republican
412417,GA,8,Present,Rep. Austin Scott [R],Republican
412421,IL,16,Present,Rep. Adam Kinzinger [R],Republican
412427,IN,8,Present,Rep. Larry Bucshon [R],Republican
412432,LA,2,Not Voting,Rep. Cedric Richmond [D],Democrat
412434,MD,1,Present,Rep. Andy Harris [R],Republican
412435,MA,9,Present,Rep. William Keating [D],Democrat
412437,MI,2,Present,Rep. Bill Huizenga [R],Republican
412438,MI,3,Present,Rep. Justin Amash [L],Independent
412443,MS,4,Present,Rep. Steven Palazzo [R],Republican
412444,MO,4,Present,Rep. Vicky Hartzler [R],Republican
412445,MO,7,Present,Rep. Billy Long [R],Republican
412460,OH,6,Present,Rep. Bill Johnson [R],Republican
412461,OH,15,Present,Rep. Steve Stivers [R],Republican
412463,OH,7,Present,Rep. Bob Gibbs [R],Republican
412465,PA,16,Present,Rep. Mike Kelly [R],Republican
412470,RI,1,Present,Rep. David Cicilline [D],Democrat
412472,SC,3,Present,Rep. Jeff Duncan [R],Republican
412476,TN,3,Present,Rep. Charles “Chuck” Fleischmann [R],Republican
412477,TN,4,Present,Rep. Scott DesJarlais [R],Republican
412480,TX,17,Present,Rep. Bill Flores [R],Republican
412485,VA,9,Not Voting,Rep. Morgan Griffith [R],Republican
412486,WA,3,Present,Rep. Jaime Herrera Beutler [R],Republican
412487,WV,1,Present,Rep. David McKinley [R],Republican
412500,NV,2,Present,Rep. Mark Amodei [R],Republican
412501,OR,1,Present,Rep. Suzanne Bonamici [D],Democrat
412503,KY,4,Not Voting,Rep. Thomas Massie [R],Republican
412505,WA,1,Present,Rep. Suzan DelBene [D],Democrat
412506,NJ,10,Present,Rep. Donald Payne Jr. [D],Democrat
412510,CA,1,Not Voting,Rep. Doug LaMalfa [R],Republican
412511,CA,2,Present,Rep. Jared Huffman [D],Democrat
412512,CA,7,Present,Rep. Ami Bera [D],Democrat
412513,CA,8,Present,Rep. Paul Cook [R],Republican
412514,CA,15,Present,Rep. Eric Swalwell [D],Democrat
412516,CA,26,Present,Rep. Julia Brownley [D],Democrat
412517,CA,29,Present,Rep. Tony Cárdenas [D],Democrat
412519,CA,36,Present,Rep. Raul Ruiz [D],Democrat
412520,CA,41,Present,Rep. Mark Takano [D],Democrat
412521,CA,47,Present,Rep. Alan Lowenthal [D],Democrat
412522,CA,51,Present,Rep. Juan Vargas [D],Democrat
412523,CA,52,Present,Rep. Scott Peters [D],Democrat
412525,FL,3,Present,Rep. Ted Yoho [R],Republican
412529,FL,21,Present,Rep. Lois Frankel [D],Democrat
412531,GA,9,Present,Rep. Doug Collins [R],Republican
412532,HI,2,Not Voting,Rep. Tulsi Gabbard [D],Democrat
412534,IL,10,Present,Rep. Bradley “Brad” Schneider [D],Democrat
412536,IL,13,Present,Rep. Rodney Davis [R],Republican
412537,IL,17,Present,Rep. Cheri Bustos [D],Democrat
412538,IN,2,Present,Rep. Jackie Walorski [R],Republican
412539,IN,5,Present,Rep. Susan Brooks [R],Republican
412541,KY,6,Present,Rep. Garland “Andy” Barr [R],Republican
412543,MA,4,Present,Rep. Joseph Kennedy III [D],Democrat
412546,MI,5,Present,Rep. Daniel Kildee [D],Democrat
412548,MO,2,Present,Rep. Ann Wagner [R],Republican
412550,NC,8,Present,Rep. Richard Hudson [R],Republican
412552,NC,11,Present,"Rep. Mark Meadows [R, 2013-2020]",Republican
412553,NC,2,Present,Rep. George Holding [R],Republican
412557,NH,2,Present,Rep. Ann Kuster [D],Democrat
412559,NV,4,Present,Rep. Steven Horsford [D],Democrat
412560,NY,6,Not Voting,Rep. Grace Meng [D],Democrat
412561,NY,8,Present,Rep. Hakeem Jeffries [D],Democrat
412562,NY,18,Present,Rep. Sean Maloney [D],Democrat
412564,OH,2,Present,Rep. Brad Wenstrup [R],Republican
412565,OH,3,Not Voting,Rep. Joyce Beatty [D],Democrat
412566,OH,14,Present,Rep. David Joyce [R],Republican
412568,OK,2,Present,Rep. Markwayne Mullin [R],Republican
412569,PA,10,Present,Rep. Scott Perry [R],Republican
412571,PA,8,Present,Rep. Matthew Cartwright [D],Democrat
412572,SC,7,Present,Rep. Tom Rice [R],Republican
412574,TX,14,Present,Rep. Randy Weber [R],Republican
412576,TX,20,Not Voting,Rep. Joaquin Castro [D],Democrat
412578,TX,25,Present,Rep. Roger Williams [R],Republican
412579,TX,33,Present,Rep. Marc Veasey [D],Democrat
412580,TX,34,Present,Rep. Filemon Vela [D],Democrat
412581,UT,2,Present,Rep. Chris Stewart [R],Republican
412583,WA,6,Present,Rep. Derek Kilmer [D],Democrat
412584,WA,10,Present,Rep. Denny Heck [D],Democrat
412585,WI,2,Present,Rep. Mark Pocan [D],Democrat
412595,IL,2,Not Voting,Rep. Robin Kelly [D],Democrat
412596,MO,8,Present,Rep. Jason Smith [R],Republican
412600,MA,5,Present,Rep. Katherine Clark [D],Democrat
412601,AL,1,Not Voting,Rep. Bradley Byrne [R],Republican
412606,NJ,1,Present,Rep. Donald Norcross [D],Democrat
412607,NC,12,Present,Rep. Alma Adams [D],Democrat
412608,AL,6,Present,Rep. Gary Palmer [R],Republican
412609,AR,2,Present,Rep. French Hill [R],Republican
412610,AR,4,Present,Rep. Bruce Westerman [R],Republican
412612,AZ,7,Not Voting,Rep. Ruben Gallego [D],Democrat
412613,CA,11,Present,Rep. Mark DeSaulnier [D],Democrat
412615,CA,31,Present,Rep. Pete Aguilar [D],Democrat
412616,CA,33,Present,Rep. Ted Lieu [D],Democrat
412617,CA,35,Present,Rep. Norma Torres [D],Democrat
412619,CO,4,Present,Rep. Ken Buck [R],Republican
412622,GA,1,Present,Rep. Buddy Carter [R],Republican
412623,GA,10,Present,Rep. Jody Hice [R],Republican
412624,GA,11,Not Voting,Rep. Barry Loudermilk [R],Republican
412625,GA,12,Present,Rep. Rick Allen [R],Republican
412629,IL,12,Present,Rep. Mike Bost [R],Republican
412630,LA,5,Present,Rep. Ralph Abraham [R],Republican
412631,LA,6,Present,Rep. Garret Graves [R],Republican
412632,MA,6,Present,Rep. Seth Moulton [D],Democrat
412634,MI,4,Present,Rep. John Moolenaar [R],Republican
412637,MI,12,Present,Rep. Debbie Dingell [D],Democrat
412638,MI,14,Present,Rep. Brenda Lawrence [D],Democrat
412639,MN,6,Present,Rep. Tom Emmer [R],Republican
412641,NC,7,Present,Rep. David Rouzer [R],Republican
412644,NJ,12,Present,Rep. Bonnie Watson Coleman [D],Democrat
412646,NY,1,Present,Rep. Lee Zeldin [R],Republican
412647,NY,4,Present,Rep. Kathleen Rice [D],Democrat
412648,NY,21,Present,Rep. Elise Stefanik [R],Republican
412649,NY,24,Present,Rep. John Katko [R],Republican
412652,PA,2,Present,Rep. Brendan Boyle [D],Democrat
412653,TX,4,Not Voting,"Rep. John Ratcliffe [R, 2015-2020]",Republican
412654,TX,23,Present,Rep. Will Hurd [R],Republican
412655,TX,36,Present,Rep. Brian Babin [R],Republican
412657,VA,8,Present,Rep. Donald Beyer [D],Democrat
412660,WA,4,Present,Rep. Dan Newhouse [R],Republican
412661,WI,6,Present,Rep. Glenn Grothman [R],Republican
412662,WV,2,Present,Rep. Alex Mooney [R],Republican
412670,NC,6,Not Voting,Rep. Mark Walker [R],Republican
412673,MS,1,Present,Rep. Trent Kelly [R],Republican
412674,IL,18,Present,Rep. Darin LaHood [R],Republican
412675,OH,8,Present,Rep. Warren Davidson [R],Republican
412676,KY,1,Present,Rep. James Comer [R],Republican
412677,PA,3,Present,Rep. Dwight Evans [D],Democrat
412682,AZ,1,Present,Rep. Tom O’Halleran [D],Democrat
412683,AZ,5,Present,Rep. Andy Biggs [R],Republican
412684,CA,17,Present,Rep. Ro Khanna [D],Democrat
412685,CA,20,Present,Rep. Jimmy Panetta [D],Democrat
412686,CA,24,Present,Rep. Salud Carbajal [D],Democrat
412687,CA,44,Present,Rep. Nanette Barragán [D],Democrat
412688,CA,46,Not Voting,Rep. Luis Correa [D],Democrat
412689,DE,0,Present,Rep. Lisa Blunt Rochester [D],Democrat
412690,FL,1,Not Voting,Rep. Matt Gaetz [R],Republican
412691,FL,2,Present,Rep. Neal Dunn [R],Republican
412692,FL,4,Present,Rep. John Rutherford [R],Republican
412693,FL,5,Present,Rep. Al Lawson [D],Democrat
412694,FL,7,Present,Rep. Stephanie Murphy [D],Democrat
412695,FL,9,Present,Rep. Darren Soto [D],Democrat
412696,FL,10,Present,Rep. Val Demings [D],Democrat
412697,FL,13,Present,Rep. Charlie Crist [D],Democrat
412698,FL,18,Present,Rep. Brian Mast [R],Republican
412699,FL,19,Not Voting,Rep. Francis Rooney [R],Republican
412700,GA,3,Present,Rep. Drew Ferguson IV [R],Republican
412701,IL,8,Present,Rep. Raja Krishnamoorthi [D],Democrat
412702,IN,3,Present,Rep. Jim Banks [R],Republican
412703,IN,9,Present,Rep. Trey Hollingsworth [R],Republican
412704,KS,1,Present,Rep. Roger Marshall [R],Republican
412705,LA,3,Present,Rep. Clay Higgins [R],Republican
412706,LA,4,Not Voting,Rep. Mike Johnson [R],Republican
412707,MD,4,Present,Rep. Anthony Brown [D],Democrat
412708,MD,8,Present,Rep. Jamie Raskin [D],Democrat
412709,MI,1,Present,Rep. Jack Bergman [R],Republican
412710,MI,10,Present,Rep. Paul Mitchell [R],Republican
412712,NC,13,Present,Rep. Ted Budd [R],Republican
412713,NE,2,Present,Rep. Don Bacon [R],Republican
412714,NJ,5,Not Voting,Rep. Josh Gottheimer [D],Democrat
412717,NY,3,Present,Rep. Thomas Suozzi [D],Democrat
412718,NY,13,Present,Rep. Adriano Espaillat [D],Democrat
412721,PA,1,Present,Rep. Brian Fitzpatrick [R],Republican
412722,PA,11,Present,Rep. Lloyd Smucker [R],Republican
412724,TN,8,Present,Rep. David Kustoff [R],Republican
412725,TX,15,Not Voting,Rep. Vicente Gonzalez [D],Democrat
412726,TX,19,Present,Rep. Jodey Arrington [R],Republican
412728,VA,4,Not Voting,Rep. Donald McEachin [D],Democrat
412730,WA,7,Present,Rep. Pramila Jayapal [D],Democrat
412731,WI,8,Present,Rep. Mike Gallagher [R],Republican
412732,WY,0,Present,Rep. Liz Cheney [R],Republican
412735,KS,4,Present,Rep. Ron Estes [R],Republican
412736,MT,0,Present,Rep. Greg Gianforte [R],Republican
412738,SC,5,Present,Rep. Ralph Norman Jr. [R],Republican
412739,CA,34,Present,Rep. Jimmy Gomez [D],Democrat
412740,UT,3,Present,Rep. John Curtis [R],Republican
412744,PA,17,Present,Rep. Conor Lamb [D],Democrat
412745,AZ,8,Present,Rep. Debbie Lesko [R],Republican
412746,TX,27,Present,Rep. Michael Cloud [R],Republican
412747,OH,12,Present,Rep. Troy Balderson [R],Republican
412748,OK,1,Present,Rep. Kevin Hern [R],Republican
412749,NY,25,Present,Rep. Joseph Morelle [D],Democrat
412750,PA,5,Present,Rep. Mary Scanlon [D],Democrat
412751,PA,7,Present,Rep. Susan Wild [D],Democrat
412753,AZ,9,Present,Rep. Greg Stanton [D],Democrat
412754,CA,10,Present,Rep. Josh Harder [D],Democrat
412755,CA,21,Present,Rep. TJ Cox [D],Democrat
412757,CA,39,Present,Rep. Gilbert Cisneros [D],Democrat
412758,CA,45,Present,Rep. Katie Porter [D],Democrat
412759,CA,48,Present,Rep. Harley Rouda [D],Democrat
412760,CA,49,Present,Rep. Mike Levin [D],Democrat
412761,CO,2,Present,Rep. Joe Neguse [D],Democrat
412762,CO,6,Present,Rep. Jason Crow [D],Democrat
412763,CT,5,Present,Rep. Jahana Hayes [D],Democrat
412764,FL,6,Present,Rep. Michael Waltz [R],Republican
412765,FL,15,Present,Rep. Ross Spano [R],Republican
412766,FL,17,Present,Rep. Gregory Steube [R],Republican
412767,FL,26,Present,Rep. Debbie Mucarsel-Powell [D],Democrat
412768,FL,27,Present,Rep. Donna Shalala [D],Democrat
412769,GA,6,Present,Rep. Lucy McBath [D],Democrat
412771,IA,1,Present,Rep. Abby Finkenauer [D],Democrat
412772,IA,3,Present,Rep. Cynthia Axne [D],Democrat
412773,ID,1,Not Voting,Rep. Russ Fulcher [R],Republican
412774,IL,4,Present,Rep. Jesús García [D],Democrat
412775,IL,6,Present,Rep. Sean Casten [D],Democrat
412776,IL,14,Present,Rep. Lauren Underwood [D],Democrat
412777,IN,4,Present,Rep. James Baird [R],Republican
412778,IN,6,Present,Rep. Greg Pence [R],Republican
412779,KS,2,Present,Rep. Steven Watkins [R],Republican
412780,KS,3,Present,Rep. Sharice Davids [D],Democrat
412781,MA,3,Present,Rep. Lori Trahan [D],Democrat
412782,MA,7,Present,Rep. Ayanna Pressley [D],Democrat
